window,time,baseline,method,alpha,history_w,distance_from_snapshot,baseline_ic,candidate_ic,delta,rank_correlation_to_baseline
fold_2,2174,exp016_static_strict_oof_proxy,momentum,0.15,20,229,0.1467338693707536,0.1321227525150276,-0.014611116855725997,0.9852908431101125
fold_2,2174,exp016_static_strict_oof_proxy,shuffled,0.05,20,229,0.1467338693707536,0.14738621102565544,0.0006523416549018279,0.998641085208652
fold_2,2174,exp016_static_strict_oof_proxy,shuffled,0.1,20,229,0.1467338693707536,0.14789046652020507,0.0011565971494514604,0.9940811685481326
fold_2,2174,exp016_static_strict_oof_proxy,shuffled,0.15,20,229,0.1467338693707536,0.14848713698617966,0.0017532676154260463,0.9854239309075112
fold_2,2175,exp016_static_strict_oof_proxy,momentum,0.05,20,230,0.054663768735962084,0.051204014769492504,-0.003459753966469581,0.9986231731128049
fold_2,2175,exp016_static_strict_oof_proxy,momentum,0.1,20,230,0.054663768735962084,0.047075621949331875,-0.007588146786630209,0.9940484986709441
fold_2,2175,exp016_static_strict_oof_proxy,momentum,0.15,20,230,0.054663768735962084,0.043283263369872656,-0.011380505366089429,0.9852859340663833
fold_2,2175,exp016_static_strict_oof_proxy,shuffled,0.05,20,230,0.054663768735962084,0.054648297716799854,-1.547101916223037e-05,0.9986475281778124
fold_2,2175,exp016_static_strict_oof_proxy,shuffled,0.1,20,230,0.054663768735962084,0.0548191356923603,0.00015536695639821463,0.9940704845813516
fold_2,2175,exp016_static_strict_oof_proxy,shuffled,0.15,20,230,0.054663768735962084,0.05374000517985607,-0.0009237635561060165,0.9854278147523156
fold_2,2176,exp016_static_strict_oof_proxy,momentum,0.05,20,231,0.0266152087069405,0.019384604288453008,-0.007230604418487493,0.9986338797489264
fold_2,2176,exp016_static_strict_oof_proxy,momentum,0.1,20,231,0.0266152087069405,0.011463236286423432,-0.015151972420517069,0.9940210813557876
fold_2,2176,exp016_static_strict_oof_proxy,momentum,0.15,20,231,0.0266152087069405,0.0020729512182118643,-0.024542257488728635,0.9852379696172686
fold_2,2176,exp016_static_strict_oof_proxy,shuffled,0.05,20,231,0.0266152087069405,0.027168166219978522,0.0005529575130380215,0.9986501879804442
fold_2,2176,exp016_static_strict_oof_proxy,shuffled,0.1,20,231,0.0266152087069405,0.028005142135898217,0.001389933428957716,0.994187862146113
fold_2,2176,exp016_static_strict_oof_proxy,shuffled,0.15,20,231,0.0266152087069405,0.029103654767589752,0.0024884460606492513,0.9855840029863417
fold_2,2177,exp016_static_strict_oof_proxy,momentum,0.05,20,232,0.00690960245364462,-0.000945863689402213,-0.007855466143046833,0.998658491889262
fold_2,2177,exp016_static_strict_oof_proxy,momentum,0.1,20,232,0.00690960245364462,-0.010220391635481054,-0.017129994089125675,0.9940694424960901
fold_2,2177,exp016_static_strict_oof_proxy,momentum,0.15,20,232,0.00690960245364462,-0.019655368676218782,-0.0265649711298634,0.985529814467412
fold_2,2177,exp016_static_strict_oof_proxy,shuffled,0.05,20,232,0.00690960245364462,0.007457823980810684,0.000548221527166064,0.9986520906524693
fold_2,2177,exp016_static_strict_oof_proxy,shuffled,0.1,20,232,0.00690960245364462,0.007486725993418819,0.000577123539774199,0.9942366554130967
fold_2,2177,exp016_static_strict_oof_proxy,shuffled,0.15,20,232,0.00690960245364462,0.007536575371915989,0.0006269729182713686,0.9856508206419873
fold_2,2178,exp016_static_strict_oof_proxy,momentum,0.05,20,233,0.006214491483018766,-0.003556431180958163,-0.00977092266397693,0.9986707601581745
fold_2,2178,exp016_static_strict_oof_proxy,momentum,0.1,20,233,0.006214491483018766,-0.014861984836144605,-0.021076476319163373,0.994141035271382
fold_2,2178,exp016_static_strict_oof_proxy,momentum,0.15,20,233,0.006214491483018766,-0.027487947731076528,-0.0337024392140953,0.9855819888375633
fold_2,2178,exp016_static_strict_oof_proxy,shuffled,0.05,20,233,0.006214491483018766,0.008407134979483902,0.0021926434964651357,0.9986379754978828
fold_2,2178,exp016_static_strict_oof_proxy,shuffled,0.1,20,233,0.006214491483018766,0.011103811962914559,0.004889320479895792,0.9940144345823805
fold_2,2178,exp016_static_strict_oof_proxy,shuffled,0.15,20,233,0.006214491483018766,0.013179170143328155,0.006964678660309389,0.9853286757236874
