linear_weight,tcn_weight,lgbm_weight,first_half_rank_ic,second_half_rank_ic,full_rank_ic,plateau_max_delta,beats_first_half_single,beats_second_half_single,second_half_above_0_093940,stable_plateau,passes_all_gates
0.9,0.0,0.1,0.09783483710784607,0.08773901166319485,0.09280769768890451,0.0031301039440319034,False,True,False,False,False
0.9,0.1,0.0,0.09846424945210754,0.08709931255340608,0.0928051656465813,0.0031275719017086895,False,True,False,False,False
0.3,0.15,0.55,0.09772080179470213,0.08668937466716256,0.0922277866406598,0.0052518988120828225,False,True,False,False,False
0.1,0.4,0.5,0.099687134184412,0.08470510950667727,0.09222694905681571,0.0056177934289171755,False,False,False,False,False
0.35,0.1,0.55,0.09728736469681562,0.08708650382763672,0.09220792368788291,0.005156195368548916,False,True,False,False,False
0.25,0.2,0.55,0.09793883870061512,0.08609322199939795,0.09204040404692262,0.005445284116206275,False,True,False,False,False
0.4,0.05,0.55,0.09664601850179094,0.08729696664715253,0.09199072930668294,0.00477890223092467,False,True,False,False,False
0.0,0.55,0.45,0.10012091174672819,0.08313454189905832,0.09166267820118065,0.004423878636757431,False,False,False,False,False
0.2,0.25,0.55,0.0979255748921894,0.0853164897324886,0.09164697693200917,0.005591809886236046,False,True,False,False,False
0.45,0.0,0.55,0.0957885857786296,0.08730261096123854,0.0915630592234678,0.0045113309041338034,False,True,False,False,False
0.95,0.0,0.05,0.09632259229374376,0.08636102252976932,0.09136230446888406,0.003036926164039791,False,True,False,False,False
0.95,0.05,0.0,0.09655982162018006,0.08599029047791071,0.09129680405551097,0.0030482546222050794,False,True,False,False,False
0.05,0.45,0.5,0.09902234212820583,0.0834785540590449,0.09128243119664833,0.0047909350556138985,False,False,False,False,False
0.15,0.3,0.55,0.09772468571712899,0.08439360794848536,0.09108657703397721,0.005725692120377893,False,False,False,False,False
0.1,0.35,0.55,0.09731916501193896,0.08336144950970482,0.0903690268400446,0.005817862424035147,False,False,False,False,False
0.0,0.5,0.5,0.09820290258195256,0.08215856867086906,0.09021374865914966,0.004904327700638866,False,False,False,False,False
0.3,0.1,0.6,0.0947661882348286,0.08478474494991224,0.08979600454151634,0.005352051126888163,False,True,False,False,False
0.35,0.05,0.6,0.09423854765994974,0.08513308109565135,0.08970454990571063,0.005133696684339467,False,True,False,False,False
0.25,0.15,0.6,0.0950583907305509,0.08427412602764998,0.08968844822416816,0.0055419213861367805,False,False,False,False,False
1.0,0.0,0.0,0.0945415913209691,0.08477339784170095,0.08967759374487261,0.0031301039440319034,False,False,False,False,False
0.05,0.4,0.55,0.09675846074360527,0.08219944373020172,0.08950890906203395,0.005217371343573196,False,False,False,False,False
0.4,0.0,0.6,0.09353723511664629,0.08528693481028876,0.08942906089002382,0.0049135726261007595,False,True,False,False,False
0.2,0.2,0.6,0.09515966680726676,0.08357868704962981,0.08939300610490432,0.005693740790387897,False,False,False,False,False
0.15,0.25,0.6,0.09504417131792042,0.08275074301746488,0.08892275228765244,0.005829213386576063,False,False,False,False,False
0.0,0.45,0.55,0.0960265917205786,0.08094964798457704,0.08851914237055314,0.005308401276415631,False,False,False,False,False
0.1,0.3,0.6,0.09474095108673006,0.08178476033691083,0.08828951454052378,0.005910659355514769,False,False,False,False,False
0.05,0.35,0.6,0.09426875583343,0.08069763717608727,0.08751112061722231,0.005537040820987091,False,False,False,False,False
0.3,0.05,0.65,0.0916590992235781,0.0827278006126672,0.08721182707575827,0.005377066185349,False,False,False,False,False
0.25,0.1,0.65,0.09205682159552149,0.08228312849297324,0.08719008552388223,0.005564594375754114,False,False,False,False,False
0.35,0.0,0.65,0.09107246215810105,0.08299776527528785,0.087051728319334,0.005173557010692484,False,False,False,False,False
0.2,0.15,0.65,0.09224355839231119,0.08166468279737386,0.08697588782857697,0.005722263056104543,False,False,False,False,False
0.0,0.4,0.6,0.09363898819549041,0.07952122527049185,0.08660915562789853,0.0056177934289171755,False,False,False,False,False
