window,time,variant,baseline_ic,candidate_ic,delta
fold_3,2436,reference,0.21420196149298107,0.2124582040326359,-0.0017437574603451633
fold_3,2437,reference,0.2760432371615728,0.2736095740757457,-0.002433663085827098
fold_3,2438,reference,0.271428754213664,0.2696695861014914,-0.0017591681121726377
fold_3,2439,reference,0.2648388233906629,0.26069335715365316,-0.004145466237009732
fold_3,2440,reference,0.26725931719299667,0.26691891518269834,-0.00034040201029833517
fold_3,2441,reference,0.1806761046477296,0.1834621981200948,0.002786093472365192
fold_3,2442,reference,0.12233002351232145,0.12446221143904303,0.002132187926721582
fold_3,2443,reference,0.11894496135251457,0.11363943795253134,-0.0053055233999832335
fold_3,2444,reference,0.23199914205919026,0.2225005806954929,-0.009498561363697366
fold_3,2445,reference,0.2506067187701544,0.23783444327406336,-0.012772275496091029
fold_3,2446,reference,0.2800899876582162,0.2762388782980558,-0.003851109360160365
fold_3,2447,reference,0.2716731644902783,0.26104206730509916,-0.010631097185179128
fold_3,2448,reference,0.23738404980788771,0.2285413091164571,-0.008842740691430623
fold_3,2449,reference,0.026140178323383726,0.015057972630548906,-0.01108220569283482
fold_3,2450,reference,0.05701436097221244,0.062950148807921,0.005935787835708563
fold_3,2451,reference,-0.047775854709836724,-0.04338880133389748,0.004387053375939247
fold_3,2452,reference,-0.13447897693446448,-0.1322882462545091,0.0021907306799553716
fold_3,2453,reference,-0.04613841429937844,-0.04072722956667762,0.005411184732700823
fold_3,2454,reference,-0.13102252996500127,-0.12130815846449396,0.009714371500507316
fold_3,2455,reference,-0.16344037641289266,-0.1570547375357549,0.00638563887713775
fold_3,2456,reference,-0.11293859711601455,-0.1121960139688625,0.0007425831471520455
fold_3,2457,reference,-0.19260613278614147,-0.19041227464739516,0.002193858138746313
fold_3,2458,reference,-0.1688362427392504,-0.1699396300109746,-0.0011033872717241822
fold_3,2459,reference,-0.04059912231939783,-0.045350837780976205,-0.004751715461578376
fold_3,2460,reference,-0.025511932757958797,-0.03232665955314846,-0.006814726795189661
fold_3,2461,reference,-0.022953446231957834,-0.026841805755846108,-0.003888359523888274
fold_3,2462,reference,0.07854096001228428,0.07579990566523655,-0.0027410543470477305
fold_3,2463,reference,0.18326674424213268,0.18605236061872513,0.0027856163765924424
fold_3,2464,reference,0.22546731072895065,0.22346778529131736,-0.0019995254376332927
fold_3,2465,reference,0.036984484899452996,0.03353543785276986,-0.0034490470466831333
fold_3,2466,reference,-0.12646988289264624,-0.12399679469890809,0.002473088193738149
fold_3,2467,reference,-0.11309219938755992,-0.11371300832797165,-0.0006208089404117351
fold_3,2468,reference,-0.005995423455296487,-0.004566629284885621,0.0014287941704108657
fold_3,2469,reference,-0.005571756627912612,0.0012645032611353763,0.006836259889047989
fold_3,2470,reference,-0.027275833320006868,-0.029807241796728414,-0.0025314084767215465
fold_3,2471,reference,0.14919313577733415,0.15043354854083155,0.0012404127634974005
fold_3,2472,reference,0.2967926685125059,0.29988306672931186,0.0030903982168059563
fold_3,2473,reference,0.3696230383933518,0.38067795536521476,0.01105491697186295
fold_3,2474,reference,0.42147454487947494,0.4189581052622865,-0.0025164396171884484
fold_3,2475,reference,0.4654068001099776,0.4653546054478089,-5.2194662168714157e-05
fold_3,2476,reference,0.25185508516984495,0.2512371335587729,-0.0006179516110720318
fold_3,2477,reference,0.17981321490057575,0.1811595483623,0.0013463334617242473
fold_3,2478,reference,0.14282863282881958,0.14603359470113958,0.00320496187232
fold_3,2479,reference,0.2551755102301259,0.2520384603851034,-0.0031370498450224993
fold_3,2480,reference,0.25426051591280335,0.2508603373850664,-0.003400178527736941
fold_3,2481,reference,0.30149842891272716,0.2968854274669943,-0.004613001445732845
fold_3,2482,reference,0.32037178843086483,0.3207576096411976,0.0003858212103327596
fold_3,2483,reference,0.1854903126390418,0.18329606734069662,-0.0021942452983451932
fold_3,2484,reference,0.12111530817734552,0.1225131214862326,0.0013978133088870803
fold_3,2485,reference,0.13539406353187144,0.12983285693823204,-0.005561206593639401
fold_3,2486,reference,0.157712091179978,0.16110769365037927,0.003395602470401271
fold_3,2487,reference,0.08785267072212839,0.0893426799477972,0.0014900092256688036
fold_3,2488,reference,0.2024397090353235,0.20313734975113792,0.0006976407158144349
fold_3,2489,reference,0.3151474923153804,0.32012359014655717,0.004976097831176751
fold_3,2490,reference,0.21730591377844927,0.21775531699860173,0.0004494032201524667
fold_3,2491,reference,0.274333204915953,0.2726292191415041,-0.0017039857744488573
fold_3,2492,reference,0.1815777054439773,0.18575171830498113,0.0041740128610038285
fold_3,2493,reference,0.24340968825084416,0.2414473491516117,-0.001962339099232463
fold_3,2494,reference,0.1868721252978496,0.19114539071120296,0.00427326541335335
fold_3,2495,reference,0.15889558339568233,0.16449371880917407,0.005598135413491745
fold_3,2496,reference,0.13312734027979212,0.13405924296927682,0.0009319026894847038
fold_3,2497,reference,0.13017179023119915,0.12806264666814485,-0.0021091435630543054
fold_3,2498,reference,0.14564781762443557,0.1433780951777157,-0.002269722446719885
fold_3,2499,reference,0.2625974399851809,0.26095980134901553,-0.001637638636165395
fold_3,2500,reference,0.14525584546654866,0.1429697477333529,-0.002286097733195769
fold_3,2501,reference,0.2076639845557425,0.2106314874511231,0.002967502895380586
fold_3,2502,reference,0.26025824358162636,0.2612186471239619,0.0009604035423355639
fold_3,2503,reference,0.2762733985473795,0.2776629118263893,0.0013895132790098241
fold_3,2504,reference,0.373849695387477,0.3710319427133805,-0.002817752674096452
fold_3,2505,reference,0.3694609928279365,0.3665941365280786,-0.0028668562998578895
fold_3,2506,reference,0.3012070855447557,0.28457439005542096,-0.01663269548933477
fold_3,2507,reference,0.2583068152598723,0.2590730344871759,0.0007662192273035773
fold_3,2508,reference,0.1997607717594193,0.20210975728496336,0.0023489855255440506
fold_3,2509,reference,0.06923959816579818,0.06907808549250462,-0.00016151267329356234
fold_3,2510,reference,0.09551396708896492,0.10801384912146217,0.012499882032497245
fold_3,2511,reference,0.0017215492179285844,0.010734116175271622,0.009012566957343038
fold_3,2512,reference,-0.0022509296244336047,0.0018302428294412157,0.004081172453874821
fold_3,2513,reference,0.01306256249342979,0.010741570568041606,-0.002320991925388184
fold_3,2514,reference,0.09376820728426666,0.09287204508169562,-0.0008961622025710353
fold_3,2515,reference,0.07595044445446464,0.08133542547807697,0.005384981023612331
fold_3,2516,reference,0.09624618059419002,0.09791103900031552,0.0016648584061254995
fold_3,2517,reference,0.12805761249859063,0.12907013439094148,0.0010125218923508483
fold_3,2518,reference,0.12704092845067036,0.1308781086287394,0.0038371801780690273
