test_time,preserved,mean_neighbor_distance,min_library_time,max_library_time,rank_correlation_to_exp023h
3567,False,2.9944450855255127,2544,3013,0.9972926060683902
3568,False,2.5613198280334473,2551,3010,0.9971744145652737
3569,False,2.280177116394043,2548,2908,0.9969031972547524
3570,False,2.3481881618499756,2555,3022,0.9975634921581245
3571,False,3.1286628246307373,2687,3160,0.9975100008056534
3572,False,2.5245723724365234,2551,3010,0.9969509512259266
3573,False,3.05191707611084,2443,2893,0.9972960337109119
3574,False,2.694277286529541,2548,2908,0.9964309417928426
3575,False,2.48911190032959,2555,3013,0.9968622979440486
3576,False,3.4029650688171387,2612,3158,0.9970976476874809
3577,False,3.123810291290283,2439,2991,0.9963745816174396
3578,False,2.584334373474121,2441,2900,0.99573222413991
3579,False,2.9620394706726074,1111,2865,0.9967494748575905
3580,False,3.128974437713623,1126,2900,0.9970514234409075
3581,False,3.394375801086426,2544,3034,0.9972893746848213
3582,False,2.5509815216064453,2551,3010,0.9969524438864954
3583,False,2.9068126678466797,2454,3010,0.9965583744055436
3584,False,2.844241142272949,2560,3014,0.9962437202718076
3585,False,3.2760391235351562,2608,3154,0.9973360064979634
3586,False,3.137691020965576,2544,3020,0.9972974283157859
3587,False,2.88167667388916,2615,3143,0.9971831305889587
3588,False,2.794869899749756,2550,3033,0.9976689392775233
3589,False,3.179456949234009,2551,3016,0.9973873474294769
3590,False,2.902271270751953,2608,3154,0.9977894487650691
3591,False,2.9669129848480225,2551,3016,0.9976660706791688
3592,False,4.124698638916016,2551,3154,0.9979057448601715
3593,False,2.733060836791992,2615,3158,0.9974965200000157
3594,False,2.1636910438537598,2789,3135,0.9976209328018668
3595,False,3.3676095008850098,2327,3154,0.997307256212026
3596,False,3.0424680709838867,2612,3159,0.9972343993316256
3597,False,4.462306976318359,2858,3160,0.9976036950895184
3598,False,2.6396138668060303,2687,3158,0.9974820086694333
3599,False,2.5149166584014893,2687,3159,0.9970639260108285
3600,False,4.518171310424805,2250,3156,0.9972580392208127
3601,False,3.182615280151367,2544,3157,0.9978209774196315
3602,False,2.1480956077575684,2591,3033,0.9979353102920621
