test_time,preserved,mean_neighbor_distance,min_library_time,max_library_time,rank_correlation_to_exp023h,rank_correlation_to_exp024b
3414,False,2.957510471343994,2558,3125,0.9971886854984561,0.9993200906855464
3415,False,2.5945425033569336,2546,3010,0.9967173118237772,0.9994143638730418
3416,False,2.859985589981079,2558,3122,0.9966085679751037,0.9995291098693041
3417,False,4.21157169342041,2541,3149,0.997447016002358,0.9996827820498028
3418,False,2.3622031211853027,2687,3159,0.9975908473728857,0.9994203292725106
3419,False,2.5934994220733643,2457,3143,0.9963632790785097,0.9995565498820761
3420,False,2.528550863265991,2600,3160,0.997698173151285,0.9998378407834851
3421,False,2.8499293327331543,2548,3127,0.9976038134281008,0.9995435816442998
3422,False,2.228459358215332,2850,3158,0.9976826099601912,0.9997777450592275
3423,False,2.5024731159210205,2536,3133,0.9968917208709481,0.9990095553865836
3424,False,2.480349540710449,2544,3125,0.9969491856654706,0.9991181977228033
3425,False,2.8482513427734375,2527,3159,0.9968837861273339,0.9994011403702973
3426,False,2.797945022583008,2457,3133,0.9970255674307122,0.9996068972525094
3427,False,2.3337130546569824,2783,3159,0.9973728249025057,0.9995665146253516
3428,False,3.000236988067627,2544,3157,0.9973976718544574,0.9997514665745726
3429,False,2.188570261001587,2457,3013,0.9967747712604766,0.9993126435637636
3430,False,4.22454833984375,800,2910,0.9970153629705638,0.999515728464525
3431,False,2.5835330486297607,2757,3133,0.997602401628846,0.9996409081427455
3432,False,2.8986165523529053,2687,3160,0.9976220214391509,0.9987559793524372
3433,False,2.98980712890625,2596,3127,0.9970717056899739,0.9990213814477233
3434,False,2.6109023094177246,2457,3022,0.9970955242745915,0.99821588107403
3435,False,2.4169111251831055,2553,3013,0.9972344015908197,0.9996720806351256
3436,False,2.9434707164764404,2443,2893,0.9968635456138009,0.9996317722541473
3437,False,2.4425833225250244,2551,3013,0.9970684056423507,0.9990696283205874
3438,False,2.826993227005005,2560,3013,0.9969146219552996,0.9997004052557691
